bucket,cases,error_cases,max_offset_m,median_known_rmse_m,median_max_offset_m,median_runtime_s,method,ok_cases,p90_max_offset_m,p95_known_rmse_m,p95_max_offset_m,solver,under_10cm,under_1m,under_20cm,under_2m,under_50cm,under_5cm
grid_16_24,15,0,0.5366770271483302,0.03879884518803244,0.1694885591495397,4.995207899999514,branching_025,15,0.2670716891810819,0.04910663138297612,0.3545603238570343,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.5366580137129539,0.038798845188032435,0.16948855659289383,5.117861099999573,branching_026,15,0.2670717622100089,0.049106631388604244,0.35455470537482026,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.584875291757141,0.038798845188032435,0.1694411818358788,4.9862948000009055,branching_027,15,0.2692054683712989,0.04910539064288572,0.3712693093309395,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.020976200001314,branching_028,15,0.2664328369965901,0.04911065408169543,0.33209239087093684,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5526863364878638,0.03879884518803244,0.16955089818959818,5.67985669999689,branching_029,15,0.2662802969927806,0.049105188240968684,0.35819992271066126,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.7719246228184713,0.0387988451880313,0.1695507220586186,2.4824608999988413,branching_030,15,0.4454104864523876,0.049105188240942926,0.632956630251762,visibility_branching,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
grid_16_24,15,0,0.7719246228184713,0.0387988451880313,0.1695507220586186,2.5278899000004458,branching_031,15,0.4454104864523876,0.049105188240942926,0.632956630251762,visibility_branching,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
grid_16_24,15,0,0.7710792695034789,0.038798845188031256,0.16956597771773907,0.5031435000018973,graph_scaffold_base,15,0.4084783502182948,0.049105190009509345,0.5896155142075493,graph_shortest,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
grid_16_24,15,0,0.4412095071497022,0.038798845188032845,0.16998514447664584,1.6117216000020562,sdp_000,15,0.26389878489114477,0.04911189087050779,0.32286959986014346,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5450270524912959,0.038798845188032886,0.16940146554190408,1.711413499997434,sdp_001,15,0.2683488222538999,0.04910625263094392,0.35846893441009886,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.46182502676961185,0.038798845188032956,0.17069841872858446,1.7755961999973806,sdp_002,15,0.26562516901451666,0.049124741380756655,0.3303468877557928,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4899464618031922,0.038798845188032775,0.16969501528142242,1.7694221999990987,sdp_003,15,0.2654087781430547,0.04910836892517629,0.33886525827360153,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.46182502676961185,0.038798845188032956,0.17069841872858446,1.7775647999987996,sdp_004,15,0.26562516901451666,0.049124741380756655,0.3303468877557928,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.3934823950980339,0.03879884518803299,0.16998512044706837,1.593812799997977,sdp_005,15,0.2620291811764295,0.04913075072460551,0.30710438637045046,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5159059162370523,0.03879884518833216,0.16986358336737314,1.6507884999991802,sdp_006,15,0.26487262905889725,0.049106905487043245,0.34599070151839356,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.5159069218795036,0.03879884518803342,0.16986354744853546,1.6587183000010555,sdp_007,15,0.2648726407594186,0.04910690599135307,0.34599102416984673,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.3934823176087395,0.03879884518803265,0.16998511547774012,1.6688276999993832,sdp_008,15,0.2620291654796388,0.04913075054153579,0.30710436743033,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.38659613905320234,0.038798845188033323,0.17037739598704885,1.6687253000018245,sdp_009,15,0.2587327906817908,0.0492075771173203,0.3022946966150896,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.6035368945353506,0.03879884518803285,0.16976084315831444,1.658343800001603,sdp_010,15,0.26543473972994036,0.04910562265830998,0.3727078693356282,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.4412095998128866,0.038798845188032775,0.16998513110238792,1.6761167000004207,sdp_011,15,0.26389878109685133,0.049111890634291534,0.3228696274176464,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4412100645787731,0.03879884518803336,0.16998516590375234,1.5963736999983666,sdp_012,15,0.26389879178627323,0.04911189103996097,0.3228697718084256,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.441210044893397,0.038798845188038375,0.16998511251484952,1.69304419999753,sdp_013,15,0.26389878378485954,0.049111893102138336,0.32286975379319494,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4412094276279652,0.03879884518803181,0.1699851191741003,1.6820059999990917,sdp_014,15,0.2638987956582057,0.049111890575718034,0.32286959637328505,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4412100107916305,0.03879884518803331,0.16998516211978115,1.6475587999993877,sdp_015,15,0.26389877999135186,0.0491118914126448,0.3228697449870457,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.44120943676962343,0.0387988451882458,0.16998513098586612,1.6343610000003537,sdp_016,15,0.2638987907915479,0.049111890822834965,0.3228695869339226,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4412095071497022,0.038798845188032845,0.16998514447664584,1.62874020000163,sdp_017,15,0.26389878489114477,0.04911189087050779,0.32286959986014346,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4412095071497022,0.038798845188032845,0.16998514447664584,1.600730800000747,sdp_018,15,0.26389878489114477,0.04911189087050779,0.32286959986014346,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.7311155568207957,0.0387988451880313,0.16955072152446096,1.510036499999842,sdp_019,15,0.4454105011803573,0.049105188240942975,0.6207139277002967,visibility_sdp,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
grid_16_24,15,0,0.515906561917342,0.03879884518803194,0.16986355814656845,1.6788519000001543,sdp_020,15,0.2648726420688052,0.049106905844364376,0.34599091006472615,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.35297180324177674,0.038798845188032706,0.16992084094278065,1.675821699998778,sdp_021,15,0.2615151892035384,0.04914873253163286,0.29440086247019226,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.46182500381501806,0.03879884518803296,0.17069840369654352,1.6375562000030186,sdp_022,15,0.2656251692266658,0.04912474195361884,0.33034688144741403,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5159067195899874,0.03879884518803855,0.16986228091345593,1.6887626999996428,sdp_023,15,0.2648726103649092,0.04910690642835671,0.3459909291996028,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.5159082936940843,0.03879884518804043,0.16986352227243215,1.5911926999979187,sdp_024,15,0.2648726342137406,0.0491069063812923,0.34599142813424155,visibility_sdp,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.7311155568207957,0.0387988451880313,0.16955072152446096,1.5549895999974979,sdp_025,15,0.4454105011803573,0.049105188240942975,0.6207139277002967,visibility_sdp,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
grid_16_24,15,0,0.46182502676961185,0.038798845188032956,0.17069841872858446,1.5463936000014655,sdp_026,15,0.26562516901451666,0.049124741380756655,0.3303468877557928,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.46182500381501806,0.03879884518803296,0.17069840369654352,1.5296702999985428,sdp_027,15,0.2656251692266658,0.04912474195361884,0.33034688144741403,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.4383993367283682,0.03879884518803291,0.17015529829715959,1.5610629000002518,sdp_028,15,0.26460510829110967,0.04911702493284399,0.3224976641718423,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.3529720263580462,0.03879884518803233,0.16992083996281457,1.645322299998952,sdp_029,15,0.261515185073504,0.049148732367280866,0.29440092395243805,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.38659614417927185,0.038798845188035794,0.17037742894614416,1.6538149000007252,sdp_030,15,0.2587327978789321,0.049207577244295,0.30229469857014224,visibility_sdp,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.7311155579703945,0.03879884518803126,0.16955072156849568,1.5225896000010835,sdp_031,15,0.44541048835534636,0.04910518824094295,0.6207139130852671,visibility_sdp,0.0,1.0,0.8,1.0,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,4.994308199999068,branching_000,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.6533448707900344,0.0341055547151564,0.21263008783950635,5.044694100000925,branching_001,15,0.603393599155402,0.0452092138409628,1.8645252370095147,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8,0.0
office_16_24,15,0,4.668238622236535,0.0341454096458551,0.21385367878014575,5.033074099999794,branching_002,15,0.45550965791020354,0.04527485053805061,1.7826630431136368,visibility_branching,0.0,0.9333333333333333,0.4666666666666667,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.578268613179034,0.03410555573438184,0.2124964311858701,5.173365199996624,branching_003,15,0.537418530648735,0.04520999966296175,1.7595737971735188,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8,0.0
office_16_24,15,0,4.668238622236535,0.0341454096458551,0.21385367878014575,4.963751299997966,branching_004,15,0.45550965791020354,0.04527485053805061,1.7826630431136368,visibility_branching,0.0,0.9333333333333333,0.4666666666666667,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.644999624634108,0.03410615867114095,0.2124030089111986,5.275313999998616,branching_005,15,0.48555202524606345,0.04521135676470017,1.7566564069159218,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.438378580513066,0.03411468570205971,0.21176765928074562,5.477803300000232,branching_006,15,0.4923071590137637,0.04524157160961761,1.7062168617863458,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.47617803645665,0.03411700416695561,0.21166773920835624,5.87014089999866,branching_007,15,0.4930020217211767,0.045249780675134445,1.7186024872449788,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.63713903883888,0.03410631727144523,0.21237519640894617,5.072760700000799,branching_008,15,0.48579417900985256,0.04521191940395234,1.7550351925042462,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,5.107596199999534,branching_009,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,5.163016399998014,branching_010,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.5500754965132835,0.034108044137771805,0.21262293159672047,5.201026499998989,branching_011,15,0.49044425577697176,0.04521727922636173,1.7358674766029885,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,5.2749895000015385,branching_012,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218393977744088,5.294304600000032,branching_013,15,0.4882631781245301,0.045217620277176684,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,5.0446179999999,branching_014,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,5.157589499998721,branching_015,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
office_16_24,15,0,4.531885592387547,0.03410792494063281,0.21218394159793125,5.037642200000846,branching_016,15,0.4882631781245301,0.045217620280212915,1.7280579557142213,visibility_branching,0.0,0.9333333333333333,0.4,0.9333333333333333,0.8666666666666667,0.0
