anchors,bucket,case_index,graph_folded,graph_max_offset_m,ppo_better,ppo_folded,ppo_max_offset_m,ppo_minus_graph_m
25,Grid >=16,79,0,0.2547472262886844,0,0,0.2547486490380036,1.4227493191909524e-06
22,Office >=16,0,0,0.26921634158425545,0,0,0.26922288348712486,6.541902869416916e-06
16,Office >=16,1,0,0.279847421575462,1,0,0.2798191911422671,-2.8230433194886828e-05
20,Office >=16,2,0,0.5598143877955551,0,0,0.5843008421483592,0.024486454352804055
33,Office >=16,3,0,0.2545740029872612,0,0,0.25476792842083645,0.00019392543357527048
16,Office >=16,4,0,0.10785769012282749,1,0,0.10785155999592677,-6.130126900719124e-06
16,Office >=16,5,0,0.1521943926337972,1,0,0.15217834501771094,-1.60476160862566e-05
20,Office >=16,6,0,0.15685821319134416,1,0,0.15682714445948445,-3.106873185970693e-05
17,Office >=16,7,0,0.13784432572422753,1,0,0.13784091657587486,-3.4091483526732524e-06
16,Office >=16,8,0,0.09304218096110359,1,0,0.09302902236172055,-1.3158599383042424e-05
31,Office >=16,9,0,0.3010150408016833,1,0,0.22801857666397887,-0.07299646413770441
16,Office >=16,10,0,0.1069463788878374,1,0,0.10692961181158991,-1.6767076247481416e-05
16,Office >=16,11,0,0.37217419663174045,0,0,0.3721874148163494,1.321818460897628e-05
43,Office >=16,12,0,2.592777292503753,1,0,1.3827581306797272,-1.210019161824026
25,Office >=16,13,0,0.13347071056007204,0,0,0.13348123462136027,1.0524061288236242e-05
16,Office >=16,14,0,0.10370028381380915,1,0,0.10369118210964172,-9.101704167430169e-06
16,Office >=16,15,0,0.22568342019792711,1,0,0.2256621583002383,-2.126189768880682e-05
16,Office >=16,16,0,0.15287073179243144,0,0,0.152880733425375,1.000163294356815e-05
16,Office >=16,17,0,0.10269539643410591,1,0,0.10268637788384635,-9.018550259559666e-06
16,Office >=16,18,0,0.11876004016187194,1,0,0.11874672562079311,-1.3314541078834896e-05
24,Office >=16,19,0,0.4150990266948851,0,0,0.4151204342611493,2.1407566264231015e-05
24,Office >=16,20,0,0.29414206941011833,1,0,0.2941366130739496,-5.456336168718767e-06
16,Office >=16,21,0,0.3469185434032657,1,0,0.34691854325471005,-1.4855566776716955e-10
16,Office >=16,22,0,0.1389561205058186,1,0,0.1389482582177664,-7.86228805219058e-06
38,Office >=16,23,0,0.16456759109256863,1,0,0.1645585502491496,-9.040843419044764e-06
16,Office >=16,24,0,0.08567826925329484,1,0,0.08566728937435344,-1.0979878941400067e-05
18,Office >=16,25,0,0.13122034091362858,0,0,0.1312411644342765,2.0823520647916816e-05
30,Office >=16,26,0,0.3744966677475665,1,0,0.37447389713231305,-2.2770615253464577e-05
18,Office >=16,27,0,0.17946300542601581,1,0,0.17945896406537415,-4.041360641665603e-06
24,Office >=16,28,0,0.22409664812281152,0,0,0.22441955432805727,0.00032290620524574876
16,Office >=16,29,0,0.16303319476009645,0,0,0.16306498474312833,3.178998303188241e-05
26,Office >=16,30,0,0.1663179240611017,0,0,0.16735488208768054,0.001036958026578827
22,Office >=16,31,0,0.30245177138477863,1,0,0.29987318532689516,-0.0025785860578834696
